,TOTAL_ACCIDENTES,GRAVEDAD,GRAVEDAD,GRAVEDAD,CLASE,CLASE,CLASE,CLASE,CLASE,CLASE,CLASE,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA
,,SOLO DANOS,CON HERIDOS,CON MUERTOS,CHOQUE,ATROPELLO,VOLCAMIENTO,OTRO,CAIDA DE OCUPANTE,INCENDIO,AUTOLESION,KENNEDY,ENGATIVA,FONTIBON,SUBA,PUENTE ARANDA,CHAPINERO,TEUSAQUILLO,USAQUEN,LOS MARTIRES,SANTA FE,BARRIOS UNIDOS,RAFAEL URIBE URIBE,BOSA,SAN CRISTOBAL,TUNJUELITO,CIUDAD BOLIVAR,ANTONIO NARIÑO,USME,CANDELARIA,Jueves,Miercoles,Martes,Viernes,Domingo,Sábado,Lunes
FECHA_OCURRENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-05,700,416,266,18,544,95,8,38,15,0,0,81,70,44,59,42,57,61,68,30,27,36,24,17,18,17,23,16,4,6,95,89,99,113,93,127,84
2007-08-12,736,475,246,15,594,84,13,32,13,0,0,91,91,37,63,53,74,49,80,29,25,36,18,10,11,15,26,13,10,5,90,123,80,131,72,120,120
2007-08-19,716,460,247,9,561,93,16,29,17,0,0,74,67,44,80,47,71,43,68,31,28,38,21,25,17,17,19,11,6,9,92,120,111,106,75,92,120
2007-08-26,677,435,229,13,524,81,22,40,10,0,0,79,59,55,84,40,60,40,67,26,32,36,12,12,15,13,23,9,10,5,92,93,102,124,82,109,75
2007-09-02,751,471,270,10,576,104,13,50,8,0,0,86,60,58,64,52,81,55,74,30,35,45,20,19,19,14,14,9,6,10,113,114,110,131,76,103,104
2007-09-09,755,473,270,12,596,97,12,32,18,0,0,96,68,59,68,61,67,56,73,25,26,42,24,15,15,14,12,16,10,8,121,93,104,114,87,121,115
2007-09-16,698,426,260,12,552,88,13,34,11,0,0,68,69,62,69,54,45,55,67,20,17,57,18,19,15,20,20,4,8,11,97,122,91,97,80,118,93
2007-09-23,694,441,243,10,547,83,15,33,16,0,0,81,72,53,66,48,58,47,69,29,24,37,14,19,23,13,15,11,5,10,98,97,102,110,75,116,96
2007-09-30,716,461,243,12,566,92,19,31,8,0,0,70,78,59,55,53,71,49,65,21,22,53,23,18,17,11,20,11,11,9,91,93,86,170,74,96,106
2007-10-07,802,525,264,13,647,99,9,35,12,0,0,100,77,56,71,55,84,60,75,18,34,47,20,18,19,13,25,17,8,5,129,102,129,122,108,129,83
2007-10-14,750,514,227,9,603,80,13,30,23,1,0,85,75,73,55,47,59,60,69,30,33,55,17,16,17,18,21,9,6,5,114,113,99,118,75,102,129
2007-10-21,678,446,228,4,543,75,13,36,11,0,0,75,74,60,67,48,58,44,55,24,23,35,13,20,13,16,28,9,7,9,138,93,111,115,60,102,59
2007-10-28,691,460,225,6,559,79,9,28,16,0,0,73,60,51,59,54,71,45,63,23,33,43,17,23,19,9,22,10,9,7,103,90,102,120,54,106,116
2007-11-04,751,507,240,4,606,92,14,26,13,0,0,91,77,65,57,57,71,45,73,27,26,62,18,12,10,13,21,9,11,6,84,132,103,132,70,119,111
2007-11-11,670,441,221,8,549,75,12,21,13,0,0,82,60,48,59,46,56,44,72,23,32,39,18,17,16,20,22,4,5,7,108,108,119,114,62,96,63
2007-11-18,670,440,218,12,539,89,6,26,10,0,0,68,71,47,65,54,59,36,64,23,32,39,14,15,23,22,15,10,5,8,104,122,112,100,69,110,53
2007-11-25,754,508,232,14,619,77,16,23,19,0,0,69,65,50,74,56,63,57,87,31,34,54,15,18,13,14,24,16,3,11,116,117,121,112,82,123,83
2007-12-02,774,506,255,13,627,96,14,27,10,0,0,97,64,55,72,57,69,46,86,31,26,51,17,24,19,14,20,13,3,10,109,112,106,114,82,137,114
2007-12-09,758,522,228,8,633,86,18,15,6,0,0,91,79,59,69,52,59,62,73,29,41,45,14,12,12,14,18,16,5,8,121,107,110,143,74,106,97
2007-12-16,776,521,248,7,650,90,7,21,8,0,0,75,92,62,68,53,65,61,82,36,37,37,16,21,8,8,24,12,9,10,106,112,106,143,88,116,105
2007-12-23,730,503,221,6,590,86,11,27,16,0,0,70,66,66,65,77,63,47,59,42,22,45,19,22,14,14,16,11,5,7,81,89,122,112,95,106,125
2007-12-30,526,308,212,6,406,71,8,25,16,0,0,64,50,41,48,47,21,26,54,20,10,32,16,19,10,19,30,8,6,5,83,79,75,83,63,73,70
2008-01-06,368,219,141,8,281,53,15,14,5,0,0,47,30,34,32,31,17,8,35,7,16,21,14,15,13,6,24,7,7,4,48,60,49,54,36,53,68
2008-01-13,467,300,157,10,385,45,9,24,4,0,0,58,53,36,47,30,23,27,41,18,20,28,12,11,16,13,17,10,4,3,86,68,70,76,51,68,48
2008-01-20,588,408,173,7,488,63,10,20,7,0,0,61,60,44,56,55,50,41,48,17,20,44,18,11,16,12,17,10,5,3,98,73,87,91,68,105,66
2008-01-27,667,434,228,5,538,67,12,36,14,0,0,84,66,56,52,43,49,40,67,31,28,38,17,13,17,15,19,14,11,7,99,86,105,117,61,108,91
2008-02-03,727,483,229,15,595,68,14,35,15,0,0,69,64,61,63,51,70,49,69,39,23,59,13,14,17,12,28,9,13,4,124,99,104,108,65,107,120
2008-02-10,636,438,188,10,522,60,12,28,13,0,1,64,69,40,59,53,57,56,70,16,35,33,17,8,7,15,17,7,5,8,68,99,93,105,80,106,85
2008-02-17,652,440,209,3,548,54,14,24,12,0,0,85,66,46,52,43,60,53,72,29,26,41,7,17,7,9,18,9,5,7,93,77,92,108,61,134,87
2008-02-24,735,539,186,10,616,70,13,25,11,0,0,71,85,55,57,64,61,53,80,43,29,37,9,19,12,12,27,11,5,5,123,101,105,104,67,125,110
2008-03-02,708,499,202,7,584,73,12,32,7,0,0,75,85,51,59,43,65,52,71,28,27,32,21,17,17,23,26,6,6,4,104,96,99,118,71,116,104
2008-03-09,702,496,196,10,581,72,12,31,6,0,0,74,69,53,61,45,62,48,67,28,34,48,14,14,17,18,24,11,6,9,90,115,97,117,79,113,91
2008-03-16,703,495,198,10,585,72,11,30,5,0,0,76,72,40,70,51,66,52,70,36,31,42,19,10,14,18,16,7,7,6,102,97,103,118,64,115,104
2008-03-23,427,275,141,11,340,52,15,18,2,0,0,38,48,37,35,28,22,23,39,19,18,25,15,15,11,17,16,11,3,7,51,99,80,27,45,47,78
2008-03-30,640,458,174,8,546,57,10,23,4,0,0,71,61,53,55,35,61,38,70,18,17,39,26,16,16,14,19,8,17,6,93,77,92,108,96,123,51
2008-04-06,739,527,202,10,615,84,9,18,13,0,0,49,62,61,78,51,68,56,97,22,37,46,13,16,11,19,26,7,13,7,117,101,114,113,83,112,99
2008-04-13,665,464,197,4,544,76,15,25,5,0,0,74,78,43,54,39,57,46,83,21,29,44,9,19,15,15,20,10,5,4,80,106,100,116,75,104,84
2008-04-20,657,461,186,10,549,63,10,26,8,1,0,72,68,47,56,31,57,46,63,23,23,44,13,27,18,18,22,11,11,7,81,86,84,108,84,119,95
2008-04-27,676,486,178,12,562,83,6,21,4,0,0,61,52,53,78,51,54,40,87,23,24,52,21,14,14,12,22,7,6,5,96,117,90,127,41,128,77
