,TOTAL_ACCIDENTES,GRAVEDAD,GRAVEDAD,GRAVEDAD,CLASE,CLASE,CLASE,CLASE,CLASE,CLASE,CLASE,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,LOCALIDAD,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA,DIA_SEMANA_OCURRENCIA
,,SOLO DANOS,CON HERIDOS,CON MUERTOS,CHOQUE,ATROPELLO,VOLCAMIENTO,OTRO,CAIDA DE OCUPANTE,INCENDIO,AUTOLESION,KENNEDY,ENGATIVA,FONTIBON,SUBA,PUENTE ARANDA,CHAPINERO,TEUSAQUILLO,USAQUEN,LOS MARTIRES,SANTA FE,BARRIOS UNIDOS,RAFAEL URIBE URIBE,BOSA,SAN CRISTOBAL,TUNJUELITO,CIUDAD BOLIVAR,ANTONIO NARIÑO,USME,CANDELARIA,Jueves,Miercoles,Martes,Viernes,Domingo,Sábado,Lunes
FECHA_OCURRENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-14,535,390,132,13,465,47,0,2,11,0,10,50,48,49,50,34,42,38,79,32,24,32,11,8,7,7,8,7,5,4,86,74,84,75,40,104,72
2009-06-21,478,339,129,10,408,57,1,2,5,0,5,40,47,45,43,38,48,24,62,18,19,31,12,11,5,12,9,1,4,9,74,77,74,68,51,85,49
2009-06-28,412,304,105,3,356,37,2,3,7,0,7,34,56,34,35,29,27,37,48,15,15,22,13,4,9,9,8,8,4,5,61,71,70,67,42,58,43
2009-07-05,459,326,128,5,377,58,1,1,6,0,16,40,51,33,41,31,50,24,52,22,21,30,9,8,11,11,5,8,8,4,69,71,89,75,48,62,45
2009-07-12,503,347,147,9,406,67,3,1,10,0,16,56,46,32,50,40,50,40,60,17,20,35,14,10,9,4,5,5,5,5,59,80,82,96,48,75,63
2009-07-19,497,363,126,8,419,55,3,1,12,0,7,42,45,48,48,38,32,32,57,25,28,38,17,7,7,7,8,9,6,3,69,74,78,82,55,65,74
2009-07-26,532,381,138,13,442,63,4,12,8,0,3,49,44,49,54,42,37,35,71,21,12,38,15,9,18,7,13,10,3,5,78,77,87,83,59,99,49
2009-08-02,532,354,165,13,441,65,4,15,6,0,1,42,67,34,32,56,37,38,68,27,23,32,12,13,3,16,14,9,1,8,96,73,74,68,63,86,72
2009-08-09,515,355,153,7,424,57,4,19,11,0,0,50,62,40,42,36,41,32,62,24,18,35,13,13,11,7,11,11,6,1,96,92,72,51,49,95,60
2009-08-16,550,406,143,1,469,52,3,16,10,0,0,45,66,42,57,36,54,36,66,25,10,35,16,15,5,11,7,12,4,8,73,62,76,118,46,108,67
2009-08-23,529,399,119,11,451,58,2,8,10,0,0,43,51,39,60,31,57,42,55,23,13,30,16,15,12,16,5,9,6,6,106,77,66,93,36,108,43
2009-08-30,481,334,144,3,387,60,6,6,9,0,13,46,44,31,54,30,56,34,60,24,22,30,11,6,3,5,9,6,4,6,83,73,55,74,52,78,66
2009-09-06,562,408,145,9,473,61,1,3,12,0,12,46,53,38,53,44,53,48,62,26,23,39,17,8,7,11,14,11,4,5,78,63,75,93,60,107,86
2009-09-13,504,337,152,15,399,72,1,5,10,0,17,49,47,32,55,36,41,35,56,27,20,28,14,13,5,11,16,10,7,2,65,65,73,96,53,83,69
2009-09-20,547,388,153,6,457,61,2,4,8,0,15,53,58,40,45,56,45,38,46,25,27,40,10,15,9,9,8,7,6,10,60,75,104,71,58,116,63
2009-09-27,466,308,153,5,382,59,3,7,9,0,6,53,44,29,52,38,35,39,46,20,19,32,11,9,10,8,3,8,6,4,85,74,66,74,30,72,65
2009-10-04,541,370,164,7,448,57,2,2,16,0,16,58,46,40,64,36,48,30,51,26,23,29,19,14,8,13,11,5,10,10,86,85,78,75,62,104,51
2009-10-11,482,334,140,8,395,52,5,5,12,0,13,41,58,52,31,34,49,35,52,18,19,33,11,8,5,11,6,9,4,6,81,62,69,68,58,79,65
2009-10-18,507,360,140,7,424,53,5,8,8,0,9,36,58,39,40,32,53,39,48,24,21,36,9,15,6,11,12,14,8,6,83,77,88,61,58,83,57
2009-10-25,554,373,170,11,446,74,0,5,11,0,18,52,59,41,48,43,46,32,62,26,32,39,11,16,9,10,10,9,5,4,89,76,63,84,63,91,88
2009-11-01,517,365,141,11,432,64,0,4,16,0,1,56,52,36,46,37,44,30,58,27,23,28,15,11,8,9,8,13,9,7,66,85,78,62,48,95,83
2009-11-08,544,361,172,11,440,65,2,8,14,0,15,49,56,35,64,34,44,38,57,33,31,33,17,10,7,12,9,8,5,2,86,82,89,59,53,116,59
2009-11-15,526,365,152,9,441,59,2,6,5,0,13,50,53,42,52,46,47,36,55,19,21,32,10,9,7,7,12,9,7,12,79,72,93,80,63,72,67
2009-11-22,497,315,179,3,407,60,2,3,8,0,17,40,48,38,55,38,39,29,65,20,25,24,4,15,12,11,11,9,4,10,85,81,92,77,52,67,43
2009-11-29,514,358,149,7,415,64,2,5,9,0,19,50,56,36,50,43,43,28,50,33,27,23,19,10,10,9,10,9,4,4,72,77,66,89,64,73,73
2009-12-06,588,400,174,14,481,73,1,10,9,0,14,45,72,51,62,54,56,45,51,26,24,36,8,13,7,5,11,9,4,9,76,108,88,99,55,92,70
2009-12-13,572,388,181,3,473,63,1,8,11,1,15,57,67,43,67,32,51,46,48,24,25,42,11,22,10,6,4,9,2,6,88,74,47,108,63,88,104
2009-12-20,542,362,173,7,429,72,1,10,7,0,23,47,56,38,52,45,46,35,55,26,32,31,19,9,11,11,10,7,7,5,79,110,71,78,50,77,77
2009-12-27,424,257,163,4,310,69,1,7,12,0,25,29,57,28,47,37,28,26,41,27,13,25,14,13,5,5,16,6,1,6,91,73,71,38,43,38,70
2010-01-03,324,211,107,6,258,45,4,2,6,0,9,30,32,30,40,30,19,20,32,15,15,17,5,6,1,8,9,6,7,2,51,63,62,27,27,32,62
2010-01-10,366,238,124,4,286,48,1,11,5,0,15,34,40,23,46,24,31,20,27,20,15,21,13,15,6,7,6,8,9,1,52,42,50,66,46,53,57
2010-01-17,453,320,125,8,378,45,2,4,6,0,18,38,57,34,64,18,42,26,47,23,21,21,14,14,3,6,8,8,4,5,64,73,92,82,52,58,32
2010-01-24,501,327,164,10,401,65,6,8,6,0,15,43,54,35,58,40,41,34,60,21,16,34,11,15,9,7,4,5,7,7,79,67,60,80,63,86,66
2010-01-31,534,307,218,9,408,74,1,4,11,0,36,49,62,39,51,37,45,36,56,19,17,35,13,15,8,14,11,13,5,9,67,74,74,75,72,104,68
2010-02-07,546,323,218,5,412,77,3,8,12,0,34,44,57,41,50,38,56,27,55,25,22,33,13,17,15,15,13,8,11,6,57,69,73,90,54,93,110
2010-02-14,554,370,180,4,457,53,0,9,11,0,24,57,63,38,62,34,49,42,49,24,15,37,10,14,11,8,15,14,1,11,74,78,72,86,65,101,78
2010-02-21,531,348,178,5,425,66,3,4,12,0,21,49,45,33,50,42,52,44,62,24,24,26,15,11,12,8,14,7,7,6,74,72,89,79,56,88,73
2010-02-28,611,393,207,11,487,84,6,3,13,0,18,52,71,35,63,45,62,39,79,22,27,32,17,13,7,11,11,12,7,6,76,90,80,120,75,111,59
2010-03-07,610,387,216,7,509,66,3,3,5,0,24,56,49,41,61,53,56,30,66,28,26,39,15,15,14,20,11,15,8,7,87,96,83,109,74,83,78
2010-03-14,566,368,190,8,468,66,1,2,10,0,19,55,63,30,52,44,58,48,56,28,23,23,10,14,11,16,6,13,8,8,92,81,82,102,58,72,79
2010-03-21,603,395,203,5,485,68,5,9,11,0,25,60,64,26,61,50,50,37,72,25,24,45,20,14,7,7,16,10,6,9,87,87,85,107,49,102,86
2010-03-28,557,371,180,6,452,64,5,7,7,0,22,54,47,37,62,34,41,43,55,28,37,37,12,10,7,12,16,12,7,6,86,95,99,81,54,89,53
2010-04-04,431,275,145,11,333,65,2,1,3,0,27,48,39,27,56,34,17,23,36,23,19,35,14,12,11,14,10,3,6,4,60,103,82,29,41,51,65
2010-04-11,571,401,159,11,479,59,1,5,11,0,16,55,55,43,70,43,41,36,76,20,31,34,7,6,14,5,14,11,4,6,81,53,88,105,43,119,82
2010-04-18,533,358,159,16,422,70,2,7,12,0,20,65,54,34,66,40,39,41,54,19,20,31,11,10,9,7,10,8,7,8,76,91,74,76,56,96,64
2010-04-25,577,399,168,10,496,53,1,3,8,0,16,50,49,45,66,34,58,35,60,29,36,35,11,11,8,18,8,11,6,7,82,84,98,99,53,81,80
2010-05-02,534,333,192,9,407,70,4,14,13,0,26,36,58,30,65,39,45,35,57,25,34,36,9,10,6,11,12,11,5,10,92,79,60,102,61,67,73
2010-05-09,637,389,238,10,487,87,4,10,15,1,33,44,61,43,90,43,51,41,71,48,31,31,15,9,6,10,11,13,8,11,85,116,98,96,79,93,70
2010-05-16,639,360,275,4,469,89,4,7,13,0,57,59,68,53,56,51,62,43,72,31,20,27,17,10,11,19,12,15,9,4,85,92,100,105,68,103,86
2010-05-23,596,368,221,7,467,84,6,5,8,0,26,60,66,43,59,48,56,44,47,27,26,36,14,10,8,8,12,15,6,11,97,121,91,81,61,74,71
2010-05-30,650,420,226,4,516,75,4,11,15,0,29,59,59,46,59,53,66,44,61,40,24,36,9,18,15,18,16,13,3,11,102,96,93,113,56,105,85
2010-06-06,669,401,263,5,503,98,10,15,18,0,25,68,71,51,54,50,51,34,68,26,42,46,20,11,20,20,15,5,7,10,96,103,92,101,69,108,100
2010-06-13,523,319,193,11,403,72,3,9,10,0,26,64,55,26,45,41,55,27,46,28,20,33,17,11,15,11,11,9,6,3,77,97,95,72,56,82,44
2010-06-20,572,367,200,5,468,66,3,4,12,0,19,36,71,48,45,50,50,34,65,16,32,33,21,16,7,13,9,13,6,7,89,88,94,102,63,81,55
2010-06-27,576,355,209,12,466,62,11,9,13,0,15,59,56,41,64,42,51,38,51,25,30,42,14,17,8,13,8,6,3,8,75,100,82,80,61,111,67
2010-07-04,529,333,190,6,418,74,3,4,9,0,21,48,60,42,46,42,41,30,43,36,24,37,17,14,18,7,7,10,4,3,78,64,91,86,65,70,75
2010-07-11,553,347,191,15,433,83,9,4,8,0,16,53,59,45,64,51,41,32,39,22,29,36,14,14,11,10,13,4,9,7,97,81,82,73,67,95,58
2010-07-18,547,363,173,11,445,64,8,8,11,0,11,61,60,38,54,44,44,35,55,17,19,28,17,15,11,14,11,12,7,5,75,61,96,90,44,106,75
2010-07-25,548,355,181,12,444,78,4,5,9,0,8,50,61,27,66,37,41,49,57,18,18,28,17,24,9,7,14,11,8,6,85,69,49,92,66,99,88
2010-08-01,555,374,173,8,461,67,8,2,6,0,11,46,62,32,64,49,37,37,59,31,17,41,13,13,9,11,16,9,5,4,82,76,76,86,64,96,75
2010-08-08,534,349,182,3,438,57,6,9,13,0,11,47,56,43,55,41,47,29,33,21,25,43,17,18,8,14,11,11,4,11,82,90,89,84,60,60,69
2010-08-15,541,342,193,6,440,64,5,8,7,0,17,44,51,37,50,48,49,31,46,27,33,42,11,13,7,13,14,13,6,6,78,79,77,88,54,90,75
2010-08-22,530,344,175,11,434,69,7,3,8,0,9,53,42,35,48,35,47,41,53,29,23,45,19,17,4,8,10,11,8,2,80,83,82,78,73,88,46
2010-08-29,581,376,198,7,473,70,6,6,11,0,15,52,53,28,54,48,57,32,57,44,27,43,19,15,8,8,13,11,5,7,90,98,77,87,54,95,80
2010-09-05,591,383,198,10,483,78,5,6,8,0,11,50,58,46,54,40,40,28,66,30,31,50,20,20,12,8,14,12,7,5,92,104,68,96,62,100,69
2010-09-12,556,352,196,8,449,63,5,12,17,0,10,56,72,39,51,21,55,31,62,18,31,39,17,13,6,7,15,12,6,5,93,86,84,74,60,82,77
2010-09-19,601,392,195,14,481,87,5,8,13,0,7,49,64,37,71,44,53,39,69,29,24,36,15,13,7,8,13,14,7,9,79,87,87,102,72,102,72
2010-09-26,537,348,180,9,438,69,7,2,11,0,10,50,52,31,78,31,43,28,60,31,19,35,18,12,11,9,16,7,4,2,71,80,67,76,63,80,100
2010-10-03,595,401,187,7,484,70,11,9,5,0,16,54,54,34,65,41,55,36,65,23,30,45,15,23,10,14,17,4,7,3,88,89,80,97,66,101,74
2010-10-10,571,366,195,10,452,84,3,6,5,0,21,62,60,37,62,46,58,32,65,24,23,28,18,15,10,7,9,7,4,4,91,78,91,104,55,68,84
2010-10-17,516,335,170,11,413,62,8,11,11,0,11,51,58,28,51,38,41,30,42,24,20,33,15,16,12,16,12,12,7,10,73,86,62,80,50,82,83
2010-10-24,479,337,136,6,409,43,4,7,11,0,5,45,50,43,58,25,34,33,58,23,25,24,6,12,7,13,7,6,2,8,73,74,89,89,41,77,36
2010-10-31,635,436,195,4,534,68,8,8,10,0,7,58,55,46,79,47,57,43,65,31,30,41,13,19,8,11,16,5,4,7,83,88,91,107,68,111,87
2010-11-07,520,360,151,9,420,65,3,12,12,0,8,55,48,27,62,35,42,36,55,29,20,27,14,15,5,11,10,12,8,9,80,94,81,85,57,91,32
2010-11-14,569,414,149,6,475,63,5,7,14,0,5,59,56,39,62,40,49,29,51,28,35,36,15,16,9,15,13,7,6,4,73,78,98,86,64,93,77
2010-11-21,517,340,169,8,428,65,3,5,10,0,6,53,51,42,61,28,41,30,50,21,20,37,21,18,7,12,5,14,1,5,70,72,111,87,45,81,51
2010-11-28,600,434,159,7,501,65,6,10,12,0,6,54,51,45,75,40,47,44,69,23,25,40,21,18,11,8,9,10,3,7,95,79,92,96,53,104,81
2010-12-05,619,418,191,10,513,75,6,10,11,0,4,66,61,42,74,40,44,40,79,40,28,38,9,8,9,14,6,10,4,7,100,71,78,98,68,114,90
2010-12-12,605,408,189,8,489,81,4,8,14,0,9,56,72,45,63,56,42,21,78,45,24,32,11,9,14,7,12,7,6,5,90,65,95,101,56,92,106
2010-12-19,659,460,188,11,557,64,7,6,17,0,8,75,67,42,71,49,45,29,76,42,24,41,14,18,7,11,14,21,3,10,110,106,93,85,75,98,92
2010-12-26,505,337,163,5,418,60,5,10,7,0,5,40,61,32,45,44,49,21,47,30,20,38,23,13,6,7,6,12,7,4,86,87,84,83,43,43,79
2011-01-02,412,268,137,7,343,49,8,3,5,0,4,54,50,23,44,33,30,16,38,22,22,22,18,8,5,5,12,4,5,1,64,72,75,72,23,31,75
2011-01-09,397,279,109,9,345,31,3,7,9,0,2,41,45,24,50,32,29,29,27,17,11,25,14,10,6,9,10,8,5,5,50,65,62,52,41,55,72
2011-01-16,462,305,150,7,380,58,6,4,7,0,7,54,40,31,67,36,33,22,41,18,14,28,13,18,9,7,7,6,9,9,67,81,77,74,58,67,38
2011-01-23,501,326,168,7,414,53,4,6,11,0,13,42,45,36,56,39,38,30,64,23,20,30,14,17,12,5,6,10,5,9,56,66,91,68,55,86,79
2011-01-30,506,345,152,9,419,57,8,4,11,0,7,35,58,40,52,32,44,27,66,21,20,37,11,17,7,5,14,10,7,3,77,89,68,65,60,77,70
2011-02-06,539,360,172,7,445,66,7,8,9,0,4,41,51,41,66,36,43,34,71,21,29,26,11,13,11,12,19,6,6,2,56,83,71,97,57,95,80
2011-02-13,584,398,178,8,470,72,13,13,9,0,7,39,63,43,72,49,53,38,68,20,20,41,10,13,16,6,13,7,9,4,72,92,93,89,67,92,79
2011-02-20,549,366,174,9,444,80,6,5,6,0,8,51,51,37,51,31,69,36,61,16,24,37,10,11,10,11,18,8,11,6,70,90,64,94,56,78,97
2011-02-27,588,413,167,8,496,67,3,7,10,0,5,59,60,39,70,43,55,36,63,27,30,22,19,15,8,9,15,6,4,8,104,90,76,93,52,92,81
2011-03-06,626,431,185,10,528,73,6,4,7,0,8,47,58,48,79,40,73,35,66,20,21,46,16,12,9,10,22,14,5,5,93,101,87,102,52,101,90
2011-03-13,571,379,177,15,461,81,7,9,8,0,5,42,52,40,68,41,48,36,67,20,23,43,12,15,8,15,18,8,11,4,93,79,81,75,51,104,88
2011-03-20,579,393,177,9,472,72,5,7,14,0,9,37,71,44,85,45,32,36,60,29,26,35,15,20,6,8,13,7,4,6,71,87,94,94,56,111,66
2011-03-27,545,357,178,10,438,77,5,8,11,0,6,49,65,41,57,38,45,33,70,20,20,40,6,6,7,12,13,11,3,9,68,81,88,105,57,104,42
2011-04-03,577,368,200,9,481,53,6,13,16,0,8,48,57,44,48,53,58,34,71,30,19,27,8,15,14,11,16,8,8,8,75,83,68,88,74,107,82
2011-04-10,545,368,165,12,449,67,5,5,9,0,10,44,52,58,65,32,54,34,57,25,21,29,10,16,10,8,18,6,6,0,79,70,78,60,66,119,73
2011-04-17,591,415,169,7,501,59,4,7,9,0,11,60,65,39,53,44,46,45,74,24,16,41,13,13,5,15,13,11,7,7,78,90,85,83,68,100,87
2011-04-24,411,253,149,9,318,64,4,5,10,0,10,45,48,38,44,29,30,25,33,19,18,23,3,13,7,8,12,6,6,4,42,88,97,28,40,40,76
2011-05-01,608,381,217,10,479,82,6,17,13,0,11,53,89,35,71,48,54,34,61,24,14,31,10,22,6,17,11,14,9,5,77,85,76,102,49,144,75
2011-05-08,617,416,195,6,514,50,6,15,25,0,7,50,71,49,64,38,50,37,71,37,25,39,16,13,9,10,14,17,1,6,99,85,98,105,51,93,86
2011-05-15,555,377,170,8,460,65,4,13,11,0,2,51,50,41,55,38,45,37,63,26,33,46,9,13,8,11,13,9,5,2,84,83,80,104,46,89,69
2011-05-22,590,383,195,12,483,71,6,9,15,0,6,51,64,36,71,41,52,43,58,28,23,35,17,12,7,18,14,10,6,4,94,72,85,97,61,97,84
2011-05-29,564,373,182,9,457,66,3,11,14,0,13,51,62,35,87,38,50,42,54,24,23,29,15,13,6,8,12,6,8,1,96,88,74,92,42,96,76
2011-06-05,567,361,199,7,456,81,5,5,11,0,9,62,66,42,57,37,39,29,66,33,17,31,17,17,11,7,18,7,8,3,86,90,80,81,46,102,82
2011-06-12,493,318,167,8,393,71,4,6,9,0,10,46,58,24,59,32,43,28,49,26,18,20,18,10,7,9,18,11,12,5,71,69,76,81,46,92,58
2011-06-19,595,420,169,6,499,60,8,8,9,0,11,66,63,50,76,38,49,27,48,33,27,43,11,14,8,8,12,10,7,5,75,90,88,91,59,96,96
2011-06-26,560,391,166,3,474,59,5,12,7,0,3,60,77,49,58,23,37,31,58,26,26,30,10,12,11,15,14,13,7,3,81,64,76,116,61,85,77
2011-07-03,481,300,175,6,381,66,3,9,16,0,6,49,50,42,73,29,31,28,44,22,12,26,10,12,8,13,14,11,2,5,63,91,79,86,45,72,45
2011-07-10,521,347,164,10,438,50,5,12,10,0,6,42,59,44,52,35,30,31,47,32,23,34,24,16,5,8,17,12,5,5,84,94,81,94,53,89,26
2011-07-17,532,362,165,5,434,58,2,12,18,0,8,37,53,59,73,40,35,26,64,25,16,42,16,11,7,5,7,10,3,3,82,67,89,93,46,86,69
2011-07-24,498,330,158,10,416,58,7,7,6,0,4,44,52,27,56,34,29,39,57,25,21,31,11,14,12,11,16,5,8,6,68,55,83,90,64,79,59
2011-07-31,613,414,191,8,503,72,6,13,13,0,6,51,73,53,61,41,48,32,65,40,20,39,20,13,10,10,16,8,7,6,58,85,95,104,65,124,82
2011-08-07,602,399,194,9,482,90,4,5,13,0,8,44,77,35,68,52,44,37,65,30,20,41,12,11,11,4,18,17,6,10,74,93,100,88,64,104,79
2011-08-14,600,386,205,9,482,75,6,7,16,0,14,58,57,45,58,45,56,39,50,29,25,36,11,15,11,20,12,17,8,8,72,79,107,104,63,105,70
2011-08-21,563,368,187,8,465,69,3,12,12,0,2,61,52,39,82,32,34,46,65,24,21,38,10,12,8,9,13,5,7,5,68,99,92,102,58,98,46
2011-08-28,540,348,186,6,432,76,5,9,10,1,7,59,58,31,61,35,43,39,47,34,22,39,12,7,9,6,15,7,5,11,74,89,80,81,57,75,84
2011-09-04,531,340,179,12,424,77,8,6,11,0,5,41,49,37,57,44,47,40,56,28,22,31,13,12,7,13,8,10,8,8,72,82,71,80,67,82,77
2011-09-11,575,374,191,10,476,59,7,8,20,0,5,38,64,50,56,42,47,48,69,26,26,38,15,9,5,6,15,9,7,5,93,81,75,92,59,111,64
2011-09-18,621,399,209,13,488,94,8,12,17,1,1,63,63,35,60,43,54,44,65,30,16,46,16,14,10,11,21,14,7,9,94,82,87,96,67,106,89
2011-09-25,571,371,193,7,461,70,11,11,13,0,5,60,75,38,61,41,46,35,57,34,17,39,9,12,14,8,9,7,0,9,76,91,66,82,68,100,88
2011-10-02,608,408,192,8,506,65,10,13,11,0,3,61,71,46,86,49,49,38,64,24,29,28,9,12,6,5,10,5,5,11,91,83,98,88,67,93,88
2011-10-09,579,395,176,8,484,65,5,13,8,1,3,51,74,41,56,52,50,33,60,29,25,26,12,15,6,10,14,12,5,8,81,90,94,83,51,91,89
2011-10-16,607,416,182,9,508,69,9,7,9,0,5,52,54,54,68,45,51,48,59,28,35,46,9,15,10,5,6,8,8,6,94,83,106,86,52,96,90
2011-10-23,571,410,157,4,474,62,9,11,13,0,2,49,61,41,55,46,45,54,56,28,15,35,11,17,6,10,12,16,7,7,86,100,91,94,67,93,40
2011-10-30,607,415,182,10,496,71,8,10,16,0,6,56,60,44,59,29,50,47,81,25,26,39,8,17,6,15,14,12,9,10,97,78,96,91,51,86,108
2011-11-06,635,444,185,6,534,69,9,9,10,0,4,58,60,55,62,45,48,42,72,39,25,47,9,13,6,12,15,14,6,7,99,101,83,93,68,96,95
2011-11-13,563,384,172,7,485,46,9,10,8,0,5,52,48,56,48,43,46,40,64,26,29,37,14,14,12,11,5,9,5,4,89,119,89,98,51,79,38
2011-11-20,609,438,162,9,530,59,5,4,7,0,4,62,63,49,72,41,54,48,61,37,27,36,8,8,9,7,9,8,5,5,93,106,119,92,54,99,46
2011-11-27,580,397,171,12,475,66,13,12,13,0,1,52,58,32,72,41,52,36,68,36,25,38,8,12,6,8,14,8,4,10,77,87,77,96,64,99,80
2011-12-04,542,369,165,8,442,69,6,11,11,0,3,46,68,45,49,35,47,39,57,34,21,36,16,12,4,4,11,8,6,4,75,74,73,91,70,94,65
2011-12-11,553,376,168,9,457,61,8,4,17,2,4,55,46,39,62,34,44,34,75,31,15,36,13,13,9,11,13,7,9,7,57,95,99,105,42,81,74
2011-12-18,652,471,174,7,550,73,5,6,13,0,5,55,61,66,56,47,58,42,72,39,33,50,15,7,5,11,11,12,4,8,112,98,97,98,83,87,77
2011-12-25,533,339,186,8,423,86,6,7,9,0,2,53,66,39,54,45,38,34,53,28,24,31,10,13,4,7,13,8,7,6,86,86,88,94,40,68,71
2012-01-01,422,289,126,7,352,54,4,4,5,0,3,43,63,42,44,31,26,22,36,25,18,22,7,11,6,7,6,5,5,3,57,62,68,59,28,47,101
2012-01-08,382,275,105,2,332,31,8,4,3,0,4,38,42,37,41,20,34,23,41,18,11,28,9,11,6,8,4,4,2,5,54,48,73,70,32,57,48
2012-01-15,375,252,118,5,309,45,6,9,4,0,2,31,46,36,47,17,33,19,39,15,16,23,7,8,7,6,11,6,4,4,52,61,54,64,51,64,29
2012-01-22,498,351,138,9,408,52,15,8,11,0,4,35,63,34,44,37,50,43,52,20,24,37,5,16,11,11,5,8,1,2,59,51,61,85,61,101,80
2012-01-29,657,422,231,4,531,68,12,18,17,0,11,51,82,43,71,50,65,45,75,31,32,39,11,15,5,8,14,11,3,6,104,81,92,111,66,106,97
2012-02-05,624,337,279,8,465,94,13,23,12,0,17,56,87,56,65,44,48,38,58,19,24,37,16,14,13,8,20,5,4,12,67,94,101,100,66,89,107
2012-02-12,641,419,216,6,523,74,18,7,11,0,8,49,74,65,79,38,46,37,67,31,22,47,15,18,14,13,10,8,4,4,95,77,90,108,61,99,111
2012-02-19,629,396,231,2,500,90,8,10,10,0,11,55,73,48,65,38,56,47,70,20,27,54,13,12,4,13,11,10,7,6,84,85,105,83,55,109,108
2012-02-26,622,371,247,4,492,77,13,14,21,0,5,47,77,49,73,36,59,42,78,24,30,34,14,13,6,6,16,9,2,7,107,88,88,112,64,69,94
2012-03-04,668,407,253,8,534,91,9,6,16,0,12,72,70,47,68,46,64,50,72,37,35,37,13,13,5,10,9,9,4,7,100,93,104,90,76,113,92
2012-03-11,641,406,228,7,519,93,7,9,11,0,2,55,92,44,80,44,55,39,65,27,30,30,17,12,5,13,15,8,5,5,95,84,104,90,76,108,84
2012-03-18,608,390,213,5,483,90,6,11,14,0,4,46,72,44,77,44,48,44,54,42,26,31,12,12,6,10,12,12,9,7,86,87,83,91,64,105,92
2012-03-25,586,397,185,4,490,67,9,7,9,0,4,67,61,51,78,42,40,35,54,32,15,35,13,10,6,9,12,11,5,10,89,89,103,88,69,97,51
2012-04-01,611,387,221,3,492,81,9,10,12,0,7,51,74,39,62,41,50,46,55,34,33,43,16,8,12,15,10,9,8,5,83,97,95,95,62,93,86
2012-04-08,419,276,136,7,343,51,6,5,11,0,3,26,55,28,48,25,26,27,53,28,22,21,5,7,6,8,13,12,2,7,35,77,103,26,38,32,108
2012-04-15,564,370,185,9,457,71,8,14,9,0,5,50,73,44,59,32,49,34,55,27,34,32,13,13,11,7,9,8,7,7,97,80,77,80,68,95,67
2012-04-22,606,379,219,8,483,87,7,12,12,1,4,57,77,44,72,47,44,31,56,37,31,34,12,12,11,7,10,8,6,10,104,82,82,72,65,110,91
2012-04-29,584,374,203,7,485,62,9,12,13,0,3,35,61,50,59,34,59,38,60,26,31,41,17,8,7,15,13,15,6,9,92,78,79,101,53,99,82
2012-05-06,534,320,207,7,426,77,10,8,10,0,3,42,73,48,51,31,44,26,56,25,23,30,18,15,12,14,6,6,8,6,88,77,54,91,67,81,76
2012-05-13,604,388,211,5,491,65,6,19,21,0,2,49,50,57,62,49,53,25,80,23,21,38,20,11,14,15,13,14,5,5,91,93,95,98,51,91,85
2012-05-20,563,354,206,3,456,59,12,9,15,0,12,36,66,28,66,37,44,48,61,20,31,37,18,16,12,14,9,6,8,6,76,87,94,107,48,81,70
2012-05-27,524,320,198,6,405,79,9,11,14,0,6,54,53,35,55,43,44,28,60,17,23,36,10,15,7,7,10,12,5,10,76,91,99,98,43,74,43
2012-06-03,596,384,211,1,480,78,6,8,14,0,10,51,64,43,66,52,48,34,75,27,32,31,10,12,8,10,8,14,3,8,89,76,81,109,47,103,91
2012-06-10,549,325,221,3,433,86,7,10,9,0,4,50,58,43,69,35,35,30,62,19,19,33,15,15,13,8,23,11,7,4,68,83,99,83,61,71,84
2012-06-17,507,331,170,6,417,62,5,6,13,0,4,32,46,41,62,39,24,33,69,27,23,35,12,10,9,13,13,11,2,6,73,77,85,109,43,71,49
2012-06-24,490,289,195,6,397,62,10,9,8,0,4,37,52,40,60,31,37,35,45,24,24,33,6,15,7,10,5,14,5,10,86,82,85,88,54,61,34
2012-07-01,510,349,160,1,437,50,5,3,13,0,2,34,53,43,66,45,41,30,55,25,19,32,4,11,5,14,16,6,6,5,79,75,75,86,36,77,82
2012-07-08,454,292,160,2,376,54,5,6,9,0,4,47,46,34,49,26,36,26,57,22,18,30,7,14,3,6,11,15,5,2,73,58,93,66,47,80,37
2012-07-15,602,408,185,9,504,66,7,7,9,0,9,57,73,57,67,47,42,38,57,28,28,39,10,15,8,9,11,10,2,4,91,87,96,94,62,105,67
2012-07-22,473,309,160,4,393,50,8,7,12,0,3,45,56,37,54,26,35,30,50,25,25,15,12,11,9,11,14,15,2,1,96,84,68,50,45,66,64
