FECHA_OCURRENCIA,LOCALIDAD_TEUSAQUILLO,LOCALIDAD_ENGATIVA,LOCALIDAD_PUENTE-ARANDA,LOCALIDAD_RAFAEL-URIBE-URIBE,LOCALIDAD_SUBA,LOCALIDAD_LOS-MARTIRES,LOCALIDAD_FONTIBON,LOCALIDAD_USME,LOCALIDAD_CIUDAD-BOLIVAR,LOCALIDAD_KENNEDY,LOCALIDAD_TUNJUELITO,LOCALIDAD_ANTONIO-NARIÑO,LOCALIDAD_BOSA,LOCALIDAD_CHAPINERO,LOCALIDAD_BARRIOS-UNIDOS,LOCALIDAD_USAQUEN,LOCALIDAD_SANTA-FE,LOCALIDAD_CANDELARIA,LOCALIDAD_SAN-CRISTOBAL,GRAVEDAD_CON-HERIDOS,GRAVEDAD_SOLO-DANOS,GRAVEDAD_CON-MUERTOS,CLASE_CON-HERIDOS,CLASE_SOLO-DANOS,CLASE_CON-MUERTOS
2010-09-19,39,64,44,15,71,29,37,7,13,49,8,14,13,53,36,69,24,9,7,195,392,14.0,195,392,14.0
2010-09-26,28,52,31,18,78,31,31,4,16,50,9,7,12,43,35,60,19,2,11,180,348,9.0,180,348,9.0
2010-10-03,36,54,41,15,65,23,34,7,17,54,14,4,23,55,45,65,30,3,10,187,401,7.0,187,401,7.0
2010-10-10,32,60,46,18,62,24,37,4,9,62,7,7,15,58,28,65,23,4,10,195,366,10.0,195,366,10.0
2010-10-17,30,58,38,15,51,24,28,7,12,51,16,12,16,41,33,42,20,10,12,170,335,11.0,170,335,11.0
2010-10-24,33,50,25,6,58,23,43,2,7,45,13,6,12,34,24,58,25,8,7,136,337,6.0,136,337,6.0
2010-10-31,43,55,47,13,79,31,46,4,16,58,11,5,19,57,41,65,30,7,8,195,436,4.0,195,436,4.0
2010-11-07,36,48,35,14,62,29,27,8,10,55,11,12,15,42,27,55,20,9,5,151,360,9.0,151,360,9.0
2010-11-14,29,56,40,15,62,28,39,6,13,59,15,7,16,49,36,51,35,4,9,149,414,6.0,149,414,6.0
2010-11-21,30,51,28,21,61,21,42,1,5,53,12,14,18,41,37,50,20,5,7,169,340,8.0,169,340,8.0
2010-11-28,44,51,40,21,75,23,45,3,9,54,8,10,18,47,40,69,25,7,11,159,434,7.0,159,434,7.0
2010-12-05,40,61,40,9,74,40,42,4,6,66,14,10,8,44,38,79,28,7,9,191,418,10.0,191,418,10.0
2010-12-12,21,72,56,11,63,45,45,6,12,56,7,7,9,42,32,78,24,5,14,189,408,8.0,189,408,8.0
2010-12-19,29,67,49,14,71,42,42,3,14,75,11,21,18,45,41,76,24,10,7,188,460,11.0,188,460,11.0
2010-12-26,21,61,44,23,45,30,32,7,6,40,7,12,13,49,38,47,20,4,6,163,337,5.0,163,337,5.0
2011-01-02,16,50,33,18,44,22,23,5,12,54,5,4,8,30,22,38,22,1,5,137,268,7.0,137,268,7.0
2011-01-09,29,45,32,14,50,17,24,5,10,41,9,8,10,29,25,27,11,5,6,109,279,9.0,109,279,9.0
2011-01-16,22,40,36,13,67,18,31,9,7,54,7,6,18,33,28,41,14,9,9,150,305,7.0,150,305,7.0
2011-01-23,30,45,39,14,56,23,36,5,6,42,5,10,17,38,30,64,20,9,12,168,326,7.0,168,326,7.0
2011-01-30,27,58,32,11,52,21,40,7,14,35,5,10,17,44,37,66,20,3,7,152,345,9.0,152,345,9.0
2011-02-06,34,51,36,11,66,21,41,6,19,41,12,6,13,43,26,71,29,2,11,172,360,7.0,172,360,7.0
2011-02-13,38,63,49,10,72,20,43,9,13,39,6,7,13,53,41,68,20,4,16,178,398,8.0,178,398,8.0
2011-02-20,36,51,31,10,51,16,37,11,18,51,11,8,11,69,37,61,24,6,10,174,366,9.0,174,366,9.0
2011-02-27,36,60,43,19,70,27,39,4,15,59,9,6,15,55,22,63,30,8,8,167,413,8.0,167,413,8.0
2011-03-06,35,58,40,16,79,20,48,5,22,47,10,14,12,73,46,66,21,5,9,185,431,10.0,185,431,10.0
2011-03-13,36,52,41,12,68,20,40,11,18,42,15,8,15,48,43,67,23,4,8,177,379,15.0,177,379,15.0
2011-03-20,36,71,45,15,85,29,44,4,13,37,8,7,20,32,35,60,26,6,6,177,393,9.0,177,393,9.0
2011-03-27,33,65,38,6,57,20,41,3,13,49,12,11,6,45,40,70,20,9,7,178,357,10.0,178,357,10.0
2011-04-03,34,57,53,8,48,30,44,8,16,48,11,8,15,58,27,71,19,8,14,200,368,9.0,200,368,9.0
2011-04-10,34,52,32,10,65,25,58,6,18,44,8,6,16,54,29,57,21,0,10,165,368,12.0,165,368,12.0
2011-04-17,45,65,44,13,53,24,39,7,13,60,15,11,13,46,41,74,16,7,5,169,415,7.0,169,415,7.0
2011-04-24,25,48,29,3,44,19,38,6,12,45,8,6,13,30,23,33,18,4,7,149,253,9.0,149,253,9.0
2011-05-01,34,89,48,10,71,24,35,9,11,53,17,14,22,54,31,61,14,5,6,217,381,10.0,217,381,10.0
2011-05-08,37,71,38,16,64,37,49,1,14,50,10,17,13,50,39,71,25,6,9,195,416,6.0,195,416,6.0
2011-05-15,37,50,38,9,55,26,41,5,13,51,11,9,13,45,46,63,33,2,8,170,377,8.0,170,377,8.0
2011-05-22,43,64,41,17,71,28,36,6,14,51,18,10,12,52,35,58,23,4,7,195,383,12.0,195,383,12.0
2011-05-29,42,62,38,15,87,24,35,8,12,51,8,6,13,50,29,54,23,1,6,182,373,9.0,182,373,9.0
2011-06-05,29,66,37,17,57,33,42,8,18,62,7,7,17,39,31,66,17,3,11,199,361,7.0,199,361,7.0
2011-06-12,28,58,32,18,59,26,24,12,18,46,9,11,10,43,20,49,18,5,7,167,318,8.0,167,318,8.0
2011-06-19,27,63,38,11,76,33,50,7,12,66,8,10,14,49,43,48,27,5,8,169,420,6.0,169,420,6.0
2011-06-26,31,77,23,10,58,26,49,7,14,60,15,13,12,37,30,58,26,3,11,166,391,3.0,166,391,3.0
2011-07-03,28,50,29,10,73,22,42,2,14,49,13,11,12,31,26,44,12,5,8,175,300,6.0,175,300,6.0
2011-07-10,31,59,35,24,52,32,44,5,17,42,8,12,16,30,34,47,23,5,5,164,347,10.0,164,347,10.0
2011-07-17,26,53,40,16,73,25,59,3,7,37,5,10,11,35,42,64,16,3,7,165,362,5.0,165,362,5.0
2011-07-24,39,52,34,11,56,25,27,8,16,44,11,5,14,29,31,57,21,6,12,158,330,10.0,158,330,10.0
2011-07-31,32,73,41,20,61,40,53,7,16,51,10,8,13,48,39,65,20,6,10,191,414,8.0,191,414,8.0
2011-08-07,37,77,52,12,68,30,35,6,18,44,4,17,11,44,41,65,20,10,11,194,399,9.0,194,399,9.0
2011-08-14,39,57,45,11,58,29,45,8,12,58,20,17,15,56,36,50,25,8,11,205,386,9.0,205,386,9.0
2011-08-21,46,52,32,10,82,24,39,7,13,61,9,5,12,34,38,65,21,5,8,187,368,8.0,187,368,8.0
2011-08-28,39,58,35,12,61,34,31,5,15,59,6,7,7,43,39,47,22,11,9,186,348,6.0,186,348,6.0
2011-09-04,40,49,44,13,57,28,37,8,8,41,13,10,12,47,31,56,22,8,7,179,340,12.0,179,340,12.0
2011-09-11,48,64,42,15,56,26,50,7,15,38,6,9,9,47,38,69,26,5,5,191,374,10.0,191,374,10.0
2011-09-18,44,63,43,16,60,30,35,7,21,63,11,14,14,54,46,65,16,9,10,209,399,13.0,209,399,13.0
2011-09-25,35,75,41,9,61,34,38,0,9,60,8,7,12,46,39,57,17,9,14,193,371,7.0,193,371,7.0
2011-10-02,38,71,49,9,86,24,46,5,10,61,5,5,12,49,28,64,29,11,6,192,408,8.0,192,408,8.0
2011-10-09,33,74,52,12,56,29,41,5,14,51,10,12,15,50,26,60,25,8,6,176,395,8.0,176,395,8.0
2011-10-16,48,54,45,9,68,28,54,8,6,52,5,8,15,51,46,59,35,6,10,182,416,9.0,182,416,9.0
2011-10-23,54,61,46,11,55,28,41,7,12,49,10,16,17,45,35,56,15,7,6,157,410,4.0,157,410,4.0
2011-10-30,47,60,29,8,59,25,44,9,14,56,15,12,17,50,39,81,26,10,6,182,415,10.0,182,415,10.0
2011-11-06,42,60,45,9,62,39,55,6,15,58,12,14,13,48,47,72,25,7,6,185,444,6.0,185,444,6.0
2011-11-13,40,48,43,14,48,26,56,5,5,52,11,9,14,46,37,64,29,4,12,172,384,7.0,172,384,7.0
2011-11-20,48,63,41,8,72,37,49,5,9,62,7,8,8,54,36,61,27,5,9,162,438,9.0,162,438,9.0
2011-11-27,36,58,41,8,72,36,32,4,14,52,8,8,12,52,38,68,25,10,6,171,397,12.0,171,397,12.0
2011-12-04,39,68,35,16,49,34,45,6,11,46,4,8,12,47,36,57,21,4,4,165,369,8.0,165,369,8.0
2011-12-11,34,46,34,13,62,31,39,9,13,55,11,7,13,44,36,75,15,7,9,168,376,9.0,168,376,9.0
2011-12-18,42,61,47,15,56,39,66,4,11,55,11,12,7,58,50,72,33,8,5,174,471,7.0,174,471,7.0
2011-12-25,34,66,45,10,54,28,39,7,13,53,7,8,13,38,31,53,24,6,4,186,339,8.0,186,339,8.0
2012-01-01,22,63,31,7,44,25,42,5,6,43,7,5,11,26,22,36,18,3,6,126,289,7.0,126,289,7.0
2012-01-08,23,42,20,9,41,18,37,2,4,38,8,4,11,34,28,41,11,5,6,105,275,2.0,105,275,2.0
2012-01-15,19,46,17,7,47,15,36,4,11,31,6,6,8,33,23,39,16,4,7,118,252,5.0,118,252,5.0
2012-01-22,43,63,37,5,44,20,34,1,5,35,11,8,16,50,37,52,24,2,11,138,351,9.0,138,351,9.0
2012-01-29,45,82,50,11,71,31,43,3,14,51,8,11,15,65,39,75,32,6,5,231,422,4.0,231,422,4.0
2012-02-05,38,87,44,16,65,19,56,4,20,56,8,5,14,48,37,58,24,12,13,279,337,8.0,279,337,8.0
2012-02-12,37,74,38,15,79,31,65,4,10,49,13,8,18,46,47,67,22,4,14,216,419,6.0,216,419,6.0
2012-02-19,47,73,38,13,65,20,48,7,11,55,13,10,12,56,54,70,27,6,4,231,396,2.0,231,396,2.0
2012-02-26,42,77,36,14,73,24,49,2,16,47,6,9,13,59,34,78,30,7,6,247,371,4.0,247,371,4.0
2012-03-04,50,70,46,13,68,37,47,4,9,72,10,9,13,64,37,72,35,7,5,253,407,8.0,253,407,8.0
2012-03-11,39,92,44,17,80,27,44,5,15,55,13,8,12,55,30,65,30,5,5,228,406,7.0,228,406,7.0
2012-03-18,44,72,44,12,77,42,44,9,12,46,10,12,12,48,31,54,26,7,6,213,390,5.0,213,390,5.0
2012-03-25,35,61,42,13,78,32,51,5,12,67,9,11,10,40,35,54,15,10,6,185,397,4.0,185,397,4.0
2012-04-01,46,74,41,16,62,34,39,8,10,51,15,9,8,50,43,55,33,5,12,221,387,3.0,221,387,3.0
2012-04-08,27,55,25,5,48,28,28,2,13,26,8,12,7,26,21,53,22,7,6,136,276,7.0,136,276,7.0
2012-04-15,34,73,32,13,59,27,44,7,9,50,7,8,13,49,32,55,34,7,11,185,370,9.0,185,370,9.0
2012-04-22,31,77,47,12,72,37,44,6,10,57,7,8,12,44,34,56,31,10,11,219,379,8.0,219,379,8.0
2012-04-29,38,61,34,17,59,26,50,6,13,35,15,15,8,59,41,60,31,9,7,203,374,7.0,203,374,7.0
2012-05-06,26,73,31,18,51,25,48,8,6,42,14,6,15,44,30,56,23,6,12,207,320,7.0,207,320,7.0
2012-05-13,25,50,49,20,62,23,57,5,13,49,15,14,11,53,38,80,21,5,14,211,388,5.0,211,388,5.0
2012-05-20,48,66,37,18,66,20,28,8,9,36,14,6,16,44,37,61,31,6,12,206,354,3.0,206,354,3.0
2012-05-27,28,53,43,10,55,17,35,5,10,54,7,12,15,44,36,60,23,10,7,198,320,6.0,198,320,6.0
2012-06-03,34,64,52,10,66,27,43,3,8,51,10,14,12,48,31,75,32,8,8,211,384,1.0,211,384,1.0
2012-06-10,30,58,35,15,69,19,43,7,23,50,8,11,15,35,33,62,19,4,13,221,325,3.0,221,325,3.0
2012-06-17,33,46,39,12,62,27,41,2,13,32,13,11,10,24,35,69,23,6,9,170,331,6.0,170,331,6.0
2012-06-24,35,52,31,6,60,24,40,5,5,37,10,14,15,37,33,45,24,10,7,195,289,6.0,195,289,6.0
2012-07-01,30,53,45,4,66,25,43,6,16,34,14,6,11,41,32,55,19,5,5,160,349,1.0,160,349,1.0
2012-07-08,26,46,26,7,49,22,34,5,11,47,6,15,14,36,30,57,18,2,3,160,292,2.0,160,292,2.0
2012-07-15,38,73,47,10,67,28,57,2,11,57,9,10,15,42,39,57,28,4,8,185,408,9.0,185,408,9.0
2012-07-22,30,56,26,12,54,25,37,2,14,45,11,15,11,35,15,50,25,1,9,160,309,4.0,160,309,4.0
2012-07-29,43,72,25,13,65,26,44,3,14,62,13,10,11,47,33,61,30,3,7,195,382,5.0,195,382,5.0
2012-08-05,40,59,45,11,58,37,49,5,10,45,14,21,15,52,28,63,19,6,12,192,391,6.0,192,391,6.0
2012-08-12,41,78,29,11,50,29,32,9,8,45,9,8,17,27,27,58,20,10,8,188,325,3.0,188,325,3.0
2012-08-19,47,48,37,9,72,22,43,6,14,61,6,8,15,40,32,50,27,4,9,189,354,7.0,189,354,7.0
2012-08-26,36,43,26,9,56,27,40,7,9,46,8,7,12,40,31,57,23,8,8,187,302,4.0,187,302,4.0
2012-09-02,32,77,31,10,55,29,42,8,12,65,9,11,7,40,36,55,18,5,9,194,353,4.0,194,353,4.0
2012-09-09,43,77,41,13,76,21,45,6,14,59,9,8,14,49,43,54,21,3,6,231,369,2.0,231,369,2.0
2012-09-16,40,84,47,14,47,29,41,9,12,50,12,6,10,55,38,55,24,6,7,218,357,11.0,218,357,11.0
2012-09-23,41,67,33,6,60,23,37,7,14,53,7,6,15,45,47,62,22,6,12,191,367,5.0,191,367,5.0
2012-09-30,42,81,27,17,64,27,42,7,15,44,7,6,14,41,37,55,31,8,2,200,362,5.0,200,362,5.0
2012-10-07,39,69,47,13,83,25,52,2,12,47,20,14,12,54,44,66,19,9,9,226,408,2.0,226,408,2.0
2012-10-14,34,65,38,13,61,23,37,9,15,50,18,9,11,43,33,40,31,3,8,188,349,4.0,188,349,4.0
2012-10-21,40,74,29,11,60,21,40,8,8,49,9,7,10,27,38,60,25,7,5,158,365,5.0,158,365,5.0
2012-10-28,37,72,37,9,71,38,60,5,17,64,8,14,13,51,37,73,22,11,11,222,421,7.0,222,421,7.0
2012-11-04,30,70,39,14,65,34,39,3,10,56,11,15,20,49,37,67,24,10,13,203,398,5.0,203,398,5.0
2012-11-11,24,69,30,14,56,20,45,2,16,39,7,11,16,41,33,67,23,8,12,172,359,2.0,172,359,2.0
2012-11-18,46,76,48,22,59,18,45,8,14,44,10,6,17,44,29,56,24,7,10,166,415,2.0,166,415,2.0
2012-11-25,38,80,49,14,80,30,46,3,17,56,7,9,15,59,43,70,22,5,12,197,453,5.0,197,453,5.0
2012-12-02,43,79,46,17,73,24,48,4,16,74,17,9,17,45,42,92,18,11,10,227,451,7.0,227,451,7.0
2012-12-09,35,77,42,20,71,32,57,12,14,64,10,10,19,58,41,72,17,8,10,212,451,6.0,212,451,6.0
2012-12-16,43,57,45,19,90,30,44,14,14,58,15,11,15,50,43,72,21,8,10,213,442,4.0,213,442,4.0
2012-12-23,47,88,45,16,75,40,43,10,18,61,19,4,12,49,43,73,29,7,16,202,488,5.0,202,488,5.0
2012-12-30,38,61,33,17,48,20,38,6,9,48,15,8,10,19,33,45,16,0,9,145,323,5.0,145,323,5.0
2013-01-06,22,37,18,10,37,9,31,6,9,24,12,7,9,21,20,34,12,1,10,143,181,5.0,143,181,5.0
2013-01-13,24,57,44,16,62,20,39,5,18,51,14,6,9,27,28,44,14,2,3,173,307,3.0,173,307,3.0
2013-01-20,40,72,30,21,61,29,57,5,10,39,14,13,16,39,32,58,21,6,8,202,363,6.0,202,363,6.0
2013-01-27,46,61,38,14,65,29,41,9,24,60,11,13,10,48,37,66,19,4,20,220,384,11.0,220,384,11.0
2013-02-03,39,60,40,15,78,24,36,10,15,63,14,13,11,54,41,73,23,5,12,201,423,2.0,201,423,2.0
2013-02-10,37,74,39,16,77,21,55,2,21,45,17,10,13,51,40,74,21,4,18,216,414,5.0,216,414,5.0
2013-02-17,31,57,44,12,79,20,54,7,20,49,15,9,11,45,35,73,24,3,10,196,401,1.0,196,401,1.0
2013-02-24,43,55,42,10,70,27,31,5,12,53,18,12,19,44,32,56,13,5,13,197,361,2.0,197,361,2.0
2013-03-03,44,64,39,14,76,29,43,5,12,56,9,12,23,51,45,54,23,4,10,189,420,4.0,189,420,4.0
2013-03-10,33,64,38,19,63,17,55,5,12,54,12,17,13,41,40,53,18,6,14,186,384,4.0,186,384,4.0
2013-03-17,48,82,40,9,86,27,37,10,14,71,21,15,15,60,38,69,30,6,16,244,445,5.0,244,445,5.0
2013-03-24,58,74,36,6,72,15,58,2,11,48,16,14,13,62,38,65,20,2,6,196,417,3.0,196,417,3.0
2013-03-31,14,51,19,13,37,17,27,6,7,38,9,6,7,31,22,24,13,1,7,122,223,4.0,122,223,4.0
2013-04-07,50,60,35,17,53,21,47,6,13,45,11,13,13,48,37,73,21,8,13,190,388,6.0,190,388,6.0
2013-04-14,41,67,45,12,50,38,42,6,15,43,17,8,14,41,37,66,19,10,11,197,382,3.0,197,382,3.0
2013-04-21,43,79,53,13,76,31,40,5,15,49,7,19,15,57,34,57,29,7,3,208,421,3.0,208,421,3.0
2013-04-28,33,85,54,17,66,24,34,9,12,52,9,13,11,44,48,59,18,9,13,188,421,1.0,188,421,1.0
2013-05-05,42,62,50,14,67,26,58,7,20,55,17,14,17,47,26,67,10,7,7,184,426,3.0,184,426,3.0
2013-05-12,40,60,58,16,76,23,57,4,25,65,13,14,20,50,48,84,18,5,12,218,467,3.0,218,467,3.0
2013-05-19,40,58,40,12,59,29,55,2,15,49,8,11,15,43,27,46,14,5,12,158,379,3.0,158,379,3.0
2013-05-26,40,76,47,9,84,33,54,6,14,56,15,13,15,53,47,69,33,11,9,193,487,4.0,193,487,4.0
2013-06-02,33,58,41,14,53,24,68,6,10,57,15,15,10,46,33,57,22,5,15,195,383,4.0,195,383,4.0
2013-06-09,41,74,29,7,56,21,40,5,13,62,4,7,13,33,25,58,18,8,10,161,356,7.0,161,356,7.0
2013-06-16,38,72,38,19,60,22,45,4,18,38,10,16,13,44,36,55,13,6,10,183,369,5.0,183,369,5.0
2013-06-23,34,55,28,16,54,28,45,6,19,52,8,11,12,45,33,53,17,6,17,186,351,2.0,186,351,2.0
2013-06-30,37,56,30,14,51,19,48,5,19,44,17,10,15,45,40,41,17,7,14,164,362,3.0,164,362,3.0
2013-07-07,27,65,48,13,53,27,47,7,15,50,13,7,12,44,33,53,16,1,7,175,357,6.0,175,357,6.0
2013-07-14,40,55,45,9,55,23,53,8,20,46,16,12,14,37,40,42,25,5,16,187,368,6.0,187,368,6.0
2013-07-21,33,42,28,12,70,26,39,2,14,45,13,7,11,38,38,47,25,6,8,167,332,5.0,167,332,5.0
2013-07-28,32,54,29,17,53,30,53,6,14,37,7,13,12,32,33,47,26,4,8,177,322,8.0,177,322,8.0
2013-08-04,47,64,34,16,57,29,42,2,14,46,11,6,18,45,48,44,26,8,7,161,397,6.0,161,397,6.0
2013-08-11,50,49,36,10,65,22,41,4,14,44,8,9,12,39,33,56,24,6,8,171,356,3.0,171,356,3.0
2013-08-18,47,64,32,20,53,20,44,9,13,43,12,7,12,46,39,51,18,8,7,156,383,6.0,156,383,6.0
2013-08-25,41,60,28,11,56,21,27,7,20,50,10,4,9,50,36,56,12,9,7,155,356,3.0,155,356,3.0
2013-09-01,32,49,31,14,50,24,36,3,14,41,9,12,19,37,30,70,17,11,11,153,352,5.0,153,352,5.0
2013-09-08,25,54,51,14,50,24,44,6,17,51,10,11,17,52,32,72,17,7,8,144,412,6.0,144,412,6.0
2013-09-15,41,58,29,10,73,22,64,4,11,52,13,5,13,32,35,42,26,7,9,167,373,6.0,167,373,6.0
2013-09-22,30,66,43,13,56,42,46,10,16,48,8,11,9,42,37,61,24,8,8,185,386,7.0,185,386,7.0
2013-09-29,43,59,40,16,50,23,45,8,13,47,21,10,10,45,39,68,19,7,6,190,374,5.0,190,374,5.0
2013-10-06,41,65,37,15,58,24,50,5,21,54,8,15,18,52,40,54,28,5,12,184,411,7.0,184,411,7.0
2013-10-13,42,62,36,20,44,30,45,7,15,60,10,12,15,55,37,40,20,8,9,199,358,10.0,199,358,10.0
2013-10-20,34,45,37,6,51,23,49,7,19,53,11,6,15,37,21,54,15,5,11,171,324,4.0,171,324,4.0
2013-10-27,35,71,43,17,62,28,56,5,17,65,11,4,15,55,36,60,21,6,10,201,412,4.0,201,412,4.0
2013-11-03,48,70,39,9,69,27,60,6,17,61,12,17,14,43,35,61,18,5,15,205,418,3.0,205,418,3.0
2013-11-10,34,79,39,9,63,19,47,4,17,54,8,11,22,53,38,52,27,3,17,159,434,3.0,159,434,3.0
2013-11-17,34,57,39,9,59,26,49,9,18,45,7,9,25,47,36,45,20,6,14,185,363,6.0,185,363,6.0
2013-11-24,47,84,43,14,69,22,38,5,14,59,8,17,12,42,39,53,28,5,8,188,415,4.0,188,415,4.0
2013-12-01,48,61,35,19,74,35,59,6,13,63,9,9,18,47,54,60,17,9,10,194,449,3.0,194,449,3.0
2013-12-08,57,56,49,16,82,33,40,6,14,66,15,8,15,56,47,77,15,5,11,201,459,8.0,201,459,8.0
2013-12-15,44,56,53,19,56,29,51,6,9,58,11,9,16,53,52,63,21,8,13,200,418,9.0,200,418,9.0
2013-12-22,28,77,51,10,72,51,48,5,17,72,8,8,21,36,45,71,14,8,7,181,464,4.0,181,464,4.0
2013-12-29,28,45,33,23,44,17,40,5,11,34,10,11,11,28,27,34,10,4,8,133,281,9.0,133,281,9.0
2014-01-05,16,36,33,14,29,13,26,4,15,44,7,7,19,13,23,16,5,5,4,100,225,4.0,100,225,4.0
2014-01-12,26,58,30,10,41,14,29,8,9,34,4,8,11,29,22,40,11,3,3,113,274,3.0,113,274,3.0
2014-01-19,35,56,36,16,49,20,27,13,13,37,9,15,13,24,26,54,13,5,15,163,308,5.0,163,308,5.0
2014-01-26,33,55,52,12,59,20,33,5,22,67,10,11,27,40,27,47,21,4,6,176,367,8.0,176,367,8.0
2014-02-02,36,57,25,11,63,36,36,8,22,37,7,11,13,50,33,67,16,6,10,174,367,3.0,174,367,3.0
2014-02-09,41,67,48,11,50,19,42,3,14,62,16,12,8,44,51,66,20,6,11,195,390,6.0,195,390,6.0
2014-02-16,39,62,41,15,70,25,35,12,12,59,13,7,13,57,37,74,13,11,8,194,404,5.0,194,404,5.0
2014-02-23,38,79,44,13,56,25,38,5,15,69,9,7,14,49,29,65,19,16,6,182,406,8.0,182,406,8.0
2014-03-02,38,70,35,13,61,31,43,5,14,63,10,9,11,42,37,71,12,6,10,172,405,4.0,172,405,4.0
2014-03-09,45,65,37,18,59,19,54,4,12,66,8,12,24,66,35,73,17,7,11,202,423,7.0,202,423,7.0
2014-03-16,42,68,52,17,75,38,29,4,13,68,7,8,21,41,40,56,12,6,7,172,431,1.0,172,431,1.0
2014-03-23,42,72,36,16,51,24,41,6,24,63,15,10,19,52,34,70,24,2,10,187,415,9.0,187,415,9.0
2014-03-30,32,77,46,19,71,20,30,6,15,57,8,6,10,43,30,56,23,8,13,174,392,4.0,174,392,4.0
2014-04-06,43,64,49,14,56,27,36,7,20,58,10,7,17,53,34,58,30,5,11,163,432,4.0,163,432,4.0
2014-04-13,45,69,47,15,64,29,36,7,22,57,8,12,20,41,34,67,20,5,11,235,373,1.0,235,373,1.0
2014-04-20,26,54,28,14,39,25,35,5,11,47,11,9,13,27,20,36,17,4,8,130,295,4.0,130,295,4.0
2014-04-27,40,68,44,21,68,19,41,5,17,57,7,10,23,52,46,51,23,7,11,188,413,9.0,188,413,9.0
2014-05-04,46,56,52,23,59,23,46,3,17,55,11,20,19,43,40,58,25,3,10,193,413,3.0,193,413,3.0
2014-05-11,42,78,34,18,79,25,50,4,14,71,15,14,14,54,41,77,23,5,11,180,484,5.0,180,484,5.0
2014-05-18,33,75,35,20,71,20,46,6,14,57,14,6,14,33,33,64,23,5,3,186,380,6.0,186,380,6.0
2014-05-25,36,59,41,21,58,24,46,6,13,64,12,13,16,58,33,62,19,5,8,182,408,4.0,182,408,4.0
2014-06-01,49,77,43,8,69,23,42,8,14,72,9,12,21,41,45,62,21,2,15,213,419,1.0,213,419,1.0
2014-06-08,34,66,41,22,51,17,44,4,11,49,14,12,14,34,36,48,14,2,12,160,363,2.0,160,363,2.0
2014-06-15,32,75,55,18,72,30,53,14,14,54,13,8,19,34,41,58,15,4,3,193,416,3.0,193,416,3.0
2014-06-22,35,62,34,15,37,28,43,12,16,45,14,11,11,41,39,74,16,6,10,167,382,0.0,167,382,0.0
2014-06-29,27,53,23,15,50,19,32,5,16,58,8,10,25,34,22,60,11,5,6,144,328,7.0,144,328,7.0
2014-07-06,32,53,49,14,52,19,37,3,14,63,10,12,13,25,25,41,15,4,5,175,305,6.0,175,305,6.0
2014-07-13,30,71,40,12,47,18,31,5,18,59,14,10,12,32,30,57,13,4,10,147,362,4.0,147,362,4.0
2014-07-20,32,64,50,15,51,17,43,7,17,56,8,11,28,46,22,49,16,2,8,175,363,4.0,175,363,4.0
2014-07-27,29,61,50,20,63,17,33,3,20,64,15,9,21,36,38,51,9,1,7,188,356,3.0,188,356,3.0
2014-08-03,36,69,50,16,65,29,39,4,23,59,14,9,23,42,31,49,14,3,6,191,380,10.0,191,380,10.0
2014-08-10,33,68,50,11,57,21,39,5,15,71,10,11,12,35,38,49,18,1,7,179,369,3.0,179,369,3.0
2014-08-17,35,72,31,17,67,27,33,8,15,61,11,11,18,46,35,53,21,5,9,199,373,3.0,199,373,3.0
2014-08-24,36,63,33,17,46,19,37,8,11,55,21,10,15,38,26,54,11,6,9,171,341,3.0,171,341,3.0
2014-08-31,38,79,47,18,69,32,44,6,15,69,10,16,18,59,33,69,21,5,8,188,465,3.0,188,465,3.0
2014-09-07,33,79,52,14,62,12,50,15,19,68,10,9,17,46,44,71,16,4,7,202,422,4.0,202,422,4.0
2014-09-14,36,84,51,13,75,22,33,4,18,56,12,8,14,47,33,59,24,4,8,195,399,7.0,195,399,7.0
2014-09-21,49,65,46,15,68,34,62,8,17,59,12,13,17,62,42,66,20,8,9,191,472,9.0,191,472,9.0
2014-09-28,35,84,58,15,69,19,38,2,15,61,9,12,23,29,50,76,18,6,5,205,413,6.0,205,413,6.0
2014-10-05,41,63,50,11,61,28,34,11,11,48,11,11,17,40,30,40,17,8,9,170,362,9.0,170,362,9.0
2014-10-12,33,50,31,16,53,22,34,4,9,32,7,10,18,36,27,57,13,8,9,137,324,8.0,137,324,8.0
2014-10-19,29,67,35,8,49,15,35,8,5,49,10,9,18,36,25,65,19,1,9,169,314,9.0,169,314,9.0
2014-10-26,26,68,49,9,63,27,40,5,10,36,7,8,13,48,28,62,9,5,8,181,331,9.0,181,331,9.0
2014-11-02,42,69,37,14,79,23,41,8,14,52,10,7,8,57,34,68,15,4,15,161,431,5.0,161,431,5.0
2014-11-09,25,62,39,10,54,17,30,5,7,46,7,8,16,50,33,61,17,3,11,149,335,17.0,149,335,17.0
2014-11-16,32,59,38,6,48,30,32,6,17,41,4,7,18,36,36,62,16,3,4,155,330,10.0,155,330,10.0
2014-11-23,33,59,35,13,59,17,45,4,17,45,7,11,25,40,33,54,14,6,6,144,368,11.0,144,368,11.0
2014-11-30,42,61,44,14,52,24,46,3,23,41,14,10,11,44,31,66,12,11,12,187,357,17.0,187,357,17.0
2014-12-07,36,56,51,12,55,22,37,1,16,48,6,7,14,50,40,69,18,3,12,168,377,8.0,168,377,8.0
