FECHA_OCURRENCIA,LOCALIDAD_TEUSAQUILLO,LOCALIDAD_ENGATIVA,LOCALIDAD_PUENTE-ARANDA,LOCALIDAD_RAFAEL-URIBE-URIBE,LOCALIDAD_SUBA,LOCALIDAD_LOS-MARTIRES,LOCALIDAD_FONTIBON,LOCALIDAD_USME,LOCALIDAD_CIUDAD-BOLIVAR,LOCALIDAD_KENNEDY,LOCALIDAD_TUNJUELITO,LOCALIDAD_ANTONIO-NARIÑO,LOCALIDAD_BOSA,LOCALIDAD_CHAPINERO,LOCALIDAD_BARRIOS-UNIDOS,LOCALIDAD_USAQUEN,LOCALIDAD_SANTA-FE,LOCALIDAD_CANDELARIA,LOCALIDAD_SAN-CRISTOBAL,GRAVEDAD_CON-HERIDOS,GRAVEDAD_SOLO-DANOS,GRAVEDAD_CON-MUERTOS,CLASE_CON-HERIDOS,CLASE_SOLO-DANOS,CLASE_CON-MUERTOS
2007-11-11,44,60,46,18,59,23,48,5,22,82,20,4,17,56,39,72,32,7,16,221,441,8.0,221,441,8.0
2007-11-18,36,71,54,14,65,23,47,5,15,68,22,10,15,59,39,64,32,8,23,218,440,12.0,218,440,12.0
2007-11-25,57,65,56,15,74,31,50,3,24,69,14,16,18,63,54,87,34,11,13,232,508,14.0,232,508,14.0
2007-12-02,46,64,57,17,72,31,55,3,20,97,14,13,24,69,51,86,26,10,19,255,506,13.0,255,506,13.0
2007-12-09,62,79,52,14,69,29,59,5,18,91,14,16,12,59,45,73,41,8,12,228,522,8.0,228,522,8.0
2007-12-16,61,92,53,16,68,36,62,9,24,75,8,12,21,65,37,82,37,10,8,248,521,7.0,248,521,7.0
2007-12-23,47,66,77,19,65,42,66,5,16,70,14,11,22,63,45,59,22,7,14,221,503,6.0,221,503,6.0
2007-12-30,26,50,47,16,48,20,41,6,30,64,19,8,19,21,32,54,10,5,10,212,308,6.0,212,308,6.0
2008-01-06,8,30,31,14,32,7,34,7,24,47,6,7,15,17,21,35,16,4,13,141,219,8.0,141,219,8.0
2008-01-13,27,53,30,12,47,18,36,4,17,58,13,10,11,23,28,41,20,3,16,157,300,10.0,157,300,10.0
